"Genus","Ensembl_gene_id","Farmed","Farmed","Farmed","Wild","Wild","Wild"
"Microbacterium",,2,142,196,173,109,136
"Luteolibacter",,2,0,0,9,0,9
"Tepidibacter",,2,0,14,0,4,0
"Unknown",,1,0,5,0,0,0
"Unknown",,1,1,18,0,2,0
"Dadabacteriales",,1,0,0,0,0,0
"[Ruminococcus]_torques_group",,1,0,0,0,0,0
"Unknown",,1,1,0,2,0,0
"Ralstonia",,0,13821,2,0,20170,0
"uncultured",,0,15,247,0,48,0
"hgcI_clade",,0,112,281,0,0,0
"Kocuria",,0,15,203,0,0,0
"Actinomyces",,0,137,102,23,0,0
"Candidatus_Nitrosotenuis",,0,0,151,0,0,0
"Faecalibacterium",,0,160,76,20,28,0
"Altererythrobacter",,0,47,113,49,0,21
"Unknown",,0,59,67,5,38,19
"Hyphomicrobium",,0,14,126,9,0,0
"Pseudoxanthobacter",,0,5,76,93,111,0
"Algoriphagus",,0,43,106,0,0,0
"Peptostreptococcus",,0,0,0,0,0,150
"Dysgonomonas",,0,9,0,0,114,0
"uncultured",,0,0,153,0,0,0
"Bacteroides",,0,16,11,9,346,0
"Unknown",,0,0,75,9,36,0
"Mitsuokella",,0,0,87,0,0,10
"Dechloromonas",,0,209,0,0,39,2
"Fibrisoma",,0,11,15,55,3,18
"Taibaiella",,0,2,38,9,19,0
"Alloprevotella",,0,2,80,0,0,0
"Empedobacter",,0,37,25,16,5,3
"Unknown",,0,0,78,0,8,2
"Prevotella",,0,8,253,8,11,4
"Bacteriovorax",,0,0,18,28,2,23
"Sphingopyxis",,0,50,0,14,6,0
"Ancylobacter",,0,0,74,0,0,0
"JG36-TzT-191",,0,5,48,0,0,0
"Novispirillum",,0,0,0,29,25,0
"Methylophilus",,0,40,0,6,13,0
"Eisenbergiella",,0,4,0,0,43,0
"uncultured",,0,29,0,54,0,0
"Reyranella",,0,0,38,0,8,0
"Unknown",,0,0,33,0,6,14
"Luteimonas",,0,1,37,0,0,7
"Craurococcus-Caldovatus",,0,7,0,0,31,0
"TM7a",,0,8,35,11,0,0
"UCG-010",,0,0,43,0,6,0
"Candidatus_Aquiluna",,0,0,56,0,0,0
"Iphinoe_LOS-B1",,0,45,0,0,0,0
"uncultured",,0,0,49,0,0,0
"Unknown",,0,0,44,0,0,0
"Clostridium_sensu_stricto_1",,0,39,26,0,3,0
"Fictibacillus",,0,0,46,0,0,0
"Aquimonas",,0,35,0,0,1,0
"Beijerinckiaceae",,0,0,45,0,0,0
"uncultured",,0,1,36,0,0,0
"Aggregatibacter",,0,0,35,0,0,0
"Perlucidibaca",,0,0,0,0,19,8
"Edaphobaculum",,0,29,14,0,0,0
"[Ruminococcus]_gnavus_group",,0,8,0,0,33,0
"Chroococcidiopsis_PCC_7203",,0,0,34,0,0,0
"Polynucleobacter",,0,0,35,0,0,0
"Lachnoclostridium",,0,3,21,0,84,0
"Sellimonas",,0,35,0,0,0,0
"Unknown",,0,0,32,0,0,0
"Unknown",,0,0,33,0,0,0
