sample-id,FG_1,FG_2,FG_3,WG_1,WG_2,WG_3
depth-55366_iter-5,3.674648686,,5.910216671,4.154018219,4.428264616,2.967100413
depth-55366_iter-6,3.669223243,,5.916288564,4.16183058,4.451892387,2.979669946
depth-55366_iter-7,3.672788928,,5.909815443,4.150863346,4.431494719,2.976601865
depth-55366_iter-8,3.678051601,,5.915880619,4.151091646,4.422762776,2.972261988
depth-55366_iter-9,3.662399389,,5.906198232,4.154160644,4.437555045,2.97831818
depth-55366_iter-10,3.669717424,,5.906750083,4.155193726,4.447024836,2.976449718
depth-64593_iter-1,3.67645367,,5.90641207,4.149357725,4.426719073,2.967457054
depth-64593_iter-2,3.670453765,,5.907271925,4.157318843,4.429637768,2.969006399
depth-64593_iter-3,3.667835925,,5.908049183,4.138463858,4.432771932,2.971309698
depth-64593_iter-4,3.670099552,,5.910808081,4.157622792,4.435013797,2.976438689
depth-64593_iter-5,3.674406441,,5.9109371,4.153867724,4.42793982,2.96716801
depth-64593_iter-6,3.674767566,,5.908317565,4.152954776,4.441465935,2.979474645
depth-64593_iter-7,3.67249458,,5.911532175,4.164217451,4.433006592,2.968897553
depth-64593_iter-8,3.674976458,,5.908437296,4.143331795,4.438650585,2.971484904
depth-64593_iter-9,3.674588325,,5.906795717,4.157827027,4.44089691,2.974604258
depth-64593_iter-10,3.674826888,,5.90821676,4.151344284,4.437604669,2.971259468
depth-73821_iter-1,,,,4.151020416,4.43452144,2.973048528
depth-73821_iter-2,,,,4.152625399,4.43417506,2.973077841
depth-73821_iter-3,,,,4.148861131,4.434409824,2.972890834
depth-73821_iter-4,,,,4.151152017,4.432006778,2.972779255
depth-73821_iter-5,,,,4.151838326,4.435596913,2.973259806
depth-73821_iter-6,,,,4.150300195,4.431531042,2.973400113
depth-73821_iter-7,,,,4.156335159,4.435804812,2.97296702
depth-73821_iter-8,,,,4.154083955,4.433011913,2.971807723
depth-73821_iter-9,,,,4.15869136,4.431429655,2.972404825
depth-73821_iter-10,,,,4.142730401,4.438466295,2.973860256
depth-83049_iter-1,,,,4.154725338,,
depth-83049_iter-2,,,,4.154725338,,
depth-83049_iter-3,,,,4.154725338,,
depth-83049_iter-4,,,,4.154725338,,
depth-83049_iter-5,,,,4.154725338,,
depth-83049_iter-6,,,,4.154725338,,
depth-83049_iter-7,,,,4.154725338,,
depth-83049_iter-8,,,,4.154725338,,
depth-83049_iter-9,,,,4.154725338,,
depth-83049_iter-10,,,,4.154725338,,
